job_id,job_name,model,experiment,partition,gpu_type,gpu_count,start,end,wall_time,est_gpu_hours,state
40604162,pf-smoke-e3b,qwen_e3b,qwen_e3b smoke gpu-l40s,gpu-l40s,l40s,1,2026-09-25T11:22:36,2026-09-25T11:41:10,00:18:34,0.309,COMPLETED
40604163,pf-smoke-mupt,mupt,mupt smoke gpu-l40,gpu-l40,l40,1,2026-09-25T11:22:24,2026-09-25T11:48:19,00:25:55,0.432,CANCELLED by 1316827
40604164,pf-smoke-e0,qwen_e0,qwen_e0 smoke gpu-l40,gpu-l40,l40,1,2026-09-25T11:22:24,2026-09-25T11:30:17,00:07:53,0.131,COMPLETED
40604293_0,pf-smoke-midillm,midi_llm,midi_llm smoke gpu-l40,gpu-l40,l40,1,2026-09-25T11:26:01,2026-09-25T11:31:55,00:05:54,0.098,CANCELLED by 1316827
40604418_0,pf-e3b-bon,,--job-name=pf-e3b-bon --array=0-2 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T11:30:39,2026-09-25T12:03:50,00:33:11,0.553,COMPLETED
40604418_1,pf-e3b-bon,,--job-name=pf-e3b-bon --array=0-2 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T11:30:49,2026-09-25T12:30:19,00:59:30,0.992,COMPLETED
40604418_2,pf-e3b-bon,,--job-name=pf-e3b-bon --array=0-2 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T11:30:49,2026-09-25T12:10:13,00:39:24,0.657,COMPLETED
40604419_0,pf-e0-bon,,--job-name=pf-e0-bon --array=0 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T11:30:49,2026-09-25T12:30:16,00:59:27,0.991,COMPLETED
40604420_0,pf-e1-bon,,--job-name=pf-e1-bon --array=0 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T11:30:49,2026-09-25T12:51:51,01:21:02,1.351,COMPLETED
40604421_0,pf-e1long-bon,,--job-name=pf-e1long-bon --array=0 scripts/paper_final/gen.sbatch,gpu-l40s,l40s,1,2026-09-25T11:30:49,2026-09-25T12:51:25,01:20:36,1.343,COMPLETED
40604422_0,pf-mupt-bon,mupt,--job-name=pf-mupt-bon -p gpu-l40 -A gpu-l40-ark --array=0-1 scripts/paper_final/gen.sbatch,gpu-l40,l40,1,2026-09-25T11:30:39,2026-09-25T13:39:34,02:08:55,2.149,COMPLETED
40604422_1,pf-mupt-bon,mupt,--job-name=pf-mupt-bon -p gpu-l40 -A gpu-l40-ark --array=0-1 scripts/paper_final/gen.sbatch,gpu-l40,l40,1,2026-09-25T11:30:49,2026-09-25T14:06:31,02:35:42,2.595,COMPLETED
40604433_0,pf-midillm,midi_llm,midi_llm full NSHARDS=5 gpu-l40,gpu-l40,l40,1,2026-09-25T11:32:23,2026-09-25T15:00:02,03:27:39,3.461,COMPLETED
40604433_1,pf-midillm,midi_llm,midi_llm full NSHARDS=5 gpu-l40,gpu-l40,l40,1,2026-09-25T11:32:23,2026-09-25T14:52:25,03:20:02,3.334,COMPLETED
40604433_2,pf-midillm,midi_llm,midi_llm full NSHARDS=5 gpu-l40,gpu-l40,l40,1,2026-09-25T11:32:54,2026-09-25T14:28:52,02:55:58,2.933,COMPLETED
