,parse_failure,invalid_syntax,wrong_section_count,wrong_section_label,wrong_bar_count,premature_eos,excess_continuation,lyric_omission,lyric_duplication,lyric_order_failure,syllable_cramming,timing_inconsistency,degenerate_melody,extreme_pitch_range,repetitive_loop,missing_chords,front_end_refusal,suspected_annotation_error
parse_failure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
invalid_syntax,0,114,3,0,2,1,0,12,2,1,64,82,25,0,5,1,0,26
wrong_section_count,0,3,5,0,0,1,1,3,1,2,3,2,0,0,0,1,0,2
wrong_section_label,0,0,0,4,0,0,0,2,0,0,3,0,0,0,0,0,0,2
wrong_bar_count,0,2,0,0,7,0,0,0,0,0,5,7,3,0,0,0,0,2
premature_eos,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
excess_continuation,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
lyric_omission,0,12,3,2,0,0,1,50,7,1,32,5,8,0,1,1,0,18
lyric_duplication,0,2,1,0,0,0,0,7,13,0,10,0,3,0,1,0,0,4
lyric_order_failure,0,1,2,0,0,1,1,1,0,2,2,1,0,0,0,0,0,1
syllable_cramming,0,64,3,3,5,1,1,32,10,2,409,46,98,0,7,1,0,113
timing_inconsistency,0,82,2,0,7,1,0,5,0,1,46,87,18,0,3,0,0,18
degenerate_melody,0,25,0,0,3,0,0,8,3,0,98,18,198,0,6,1,0,27
extreme_pitch_range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
repetitive_loop,0,5,0,0,0,0,0,1,1,0,7,3,6,0,9,0,0,2
missing_chords,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,3,0,1
front_end_refusal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suspected_annotation_error,0,26,2,2,2,0,1,18,4,1,113,18,27,0,2,1,0,115
