job=40604443 array=40604443_0 host=g3103 partition=gpu-l40s gpu=NVIDIA L40S start=2026-09-25T13:04:24-07:00 commit=06027f571e15eee20259ba4b6f9fef45939b2795 model=qwen_e0 suites=ood conditions=all songs=all shard=0/1
model=qwen_e0 suite=ood tasks=1555 skipped=20 shard=0/1 batches=98 pending=1534
Loading weights:   0%|          | 0/321 [00:00<?, ?it/s]Loading weights:   5%|▍         | 15/321 [00:00<00:06, 48.03it/s]Loading weights:  12%|█▏        | 38/321 [00:00<00:02, 101.77it/s]Loading weights:  17%|█▋        | 53/321 [00:00<00:02, 100.78it/s]Loading weights:  26%|██▌       | 84/321 [00:00<00:01, 135.29it/s]Loading weights:  50%|████▉     | 159/321 [00:00<00:00, 259.12it/s]Loading weights:  70%|███████   | 226/321 [00:01<00:00, 340.28it/s]Loading weights:  87%|████████▋ | 278/321 [00:01<00:00, 346.91it/s]Loading weights: 100%|██████████| 321/321 [00:01<00:00, 262.91it/s]
[transformers] `causal_conv1d_fn` is falling back to its reference PyTorch implementation because `causal_conv1d` is not installed. This is correct but much slower; install `causal_conv1d` for the optimized kernel.
[transformers] `causal_conv1d_update` is falling back to its reference PyTorch implementation because `causal_conv1d` is not installed. This is correct but much slower; install `causal_conv1d` for the optimized kernel.
[1/98] n=16 33.49s eos=16 parse=16 done=16/1534 elapsed=34s
[2/98] n=16 34.91s eos=16 parse=16 done=32/1534 elapsed=69s
[3/98] n=16 35.07s eos=16 parse=16 done=48/1534 elapsed=104s
[4/98] n=16 35.11s eos=16 parse=16 done=64/1534 elapsed=140s
[5/98] n=16 45.75s eos=16 parse=16 done=80/1534 elapsed=186s
[6/98] n=16 38.9s eos=16 parse=16 done=96/1534 elapsed=225s
[7/98] n=16 38.5s eos=16 parse=16 done=112/1534 elapsed=264s
[8/98] n=16 44.99s eos=16 parse=16 done=128/1534 elapsed=310s
[9/98] n=16 47.5s eos=16 parse=16 done=144/1534 elapsed=358s
[10/98] n=16 47.77s eos=16 parse=16 done=160/1534 elapsed=406s
[11/98] n=16 45.76s eos=16 parse=16 done=176/1534 elapsed=452s
[12/98] n=16 63.94s eos=16 parse=16 done=192/1534 elapsed=517s
[13/98] n=16 54.94s eos=16 parse=16 done=208/1534 elapsed=572s
[14/98] n=16 44.43s eos=16 parse=16 done=224/1534 elapsed=618s
[15/98] n=16 46.36s eos=16 parse=16 done=240/1534 elapsed=665s
[16/98] n=16 56.09s eos=16 parse=16 done=256/1534 elapsed=721s
[17/98] n=16 58.47s eos=16 parse=16 done=272/1534 elapsed=780s
[18/98] n=16 44.94s eos=16 parse=16 done=288/1534 elapsed=826s
[19/98] n=16 50.79s eos=16 parse=16 done=304/1534 elapsed=877s
[20/98] n=16 56.85s eos=16 parse=16 done=320/1534 elapsed=935s
[21/98] n=16 56.79s eos=16 parse=16 done=336/1534 elapsed=992s
[22/98] n=16 51.65s eos=16 parse=16 done=352/1534 elapsed=1044s
[23/98] n=16 53.54s eos=16 parse=16 done=368/1534 elapsed=1098s
[24/98] n=16 250.47s eos=15 parse=16 done=384/1534 elapsed=1350s
[25/98] n=16 250.04s eos=15 parse=16 done=400/1534 elapsed=1601s
[26/98] n=16 59.76s eos=16 parse=16 done=416/1534 elapsed=1661s
[27/98] n=16 55.39s eos=16 parse=16 done=432/1534 elapsed=1717s
[28/98] n=16 61.79s eos=16 parse=16 done=448/1534 elapsed=1780s
[29/98] n=16 64.18s eos=16 parse=16 done=464/1534 elapsed=1845s
[30/98] n=16 54.59s eos=16 parse=16 done=480/1534 elapsed=1900s
[31/98] n=16 56.31s eos=16 parse=16 done=496/1534 elapsed=1957s
[32/98] n=16 59.92s eos=16 parse=16 done=512/1534 elapsed=2018s
[33/98] n=16 65.73s eos=16 parse=16 done=528/1534 elapsed=2085s
[34/98] n=16 53.73s eos=16 parse=16 done=544/1534 elapsed=2139s
[35/98] n=16 57.07s eos=16 parse=16 done=560/1534 elapsed=2197s
