job=40611377 array=40604442_2 host=g3103 partition=gpu-l40s gpu=NVIDIA L40S start=2026-09-25T12:52:04-07:00 commit=b5862790b9335a1c2d8d8743e7a6d18fc37a9b72 model=qwen_e3b suites=interventions ood conditions=all songs=all shard=2/6
model=qwen_e3b suite=interventions tasks=6286 skipped=7 shard=2/6 batches=66 pending=1048
Loading weights:   0%|          | 0/321 [00:00<?, ?it/s]Loading weights:  60%|██████    | 193/321 [00:00<00:00, 1716.95it/s]Loading weights: 100%|██████████| 321/321 [00:00<00:00, 542.61it/s] 
[transformers] `causal_conv1d_fn` is falling back to its reference PyTorch implementation because `causal_conv1d` is not installed. This is correct but much slower; install `causal_conv1d` for the optimized kernel.
[transformers] `causal_conv1d_update` is falling back to its reference PyTorch implementation because `causal_conv1d` is not installed. This is correct but much slower; install `causal_conv1d` for the optimized kernel.
[1/66] n=16 33.4s eos=16 parse=16 done=16/1048 elapsed=34s
[2/66] n=16 46.44s eos=16 parse=16 done=32/1048 elapsed=81s
[3/66] n=16 40.73s eos=16 parse=16 done=48/1048 elapsed=122s
[4/66] n=16 48.98s eos=16 parse=16 done=64/1048 elapsed=171s
[5/66] n=16 51.65s eos=16 parse=16 done=80/1048 elapsed=223s
[6/66] n=16 46.02s eos=16 parse=16 done=96/1048 elapsed=270s
[7/66] n=16 52.55s eos=16 parse=16 done=112/1048 elapsed=323s
[8/66] n=16 61.02s eos=16 parse=16 done=128/1048 elapsed=385s
[9/66] n=16 57.82s eos=16 parse=16 done=144/1048 elapsed=443s
[10/66] n=16 49.58s eos=16 parse=16 done=160/1048 elapsed=494s
[11/66] n=16 53.35s eos=16 parse=16 done=176/1048 elapsed=548s
[12/66] n=16 60.11s eos=16 parse=16 done=192/1048 elapsed=608s
[13/66] n=16 60.7s eos=16 parse=16 done=208/1048 elapsed=670s
[14/66] n=16 73.04s eos=16 parse=16 done=224/1048 elapsed=743s
[15/66] n=16 53.82s eos=16 parse=16 done=240/1048 elapsed=798s
[16/66] n=16 57.77s eos=16 parse=16 done=256/1048 elapsed=856s
[17/66] n=16 65.65s eos=16 parse=16 done=272/1048 elapsed=922s
[18/66] n=16 65.12s eos=16 parse=16 done=288/1048 elapsed=988s
[19/66] n=16 58.48s eos=16 parse=16 done=304/1048 elapsed=1047s
[20/66] n=16 61.38s eos=16 parse=16 done=320/1048 elapsed=1110s
[21/66] n=16 86.71s eos=16 parse=16 done=336/1048 elapsed=1198s
[22/66] n=16 61.13s eos=16 parse=16 done=352/1048 elapsed=1259s
[23/66] n=16 63.88s eos=16 parse=16 done=368/1048 elapsed=1324s
[24/66] n=16 62.7s eos=16 parse=16 done=384/1048 elapsed=1387s
[25/66] n=16 67.69s eos=16 parse=16 done=400/1048 elapsed=1456s
[26/66] n=16 59.47s eos=16 parse=16 done=416/1048 elapsed=1516s
[27/66] n=16 69.65s eos=16 parse=16 done=432/1048 elapsed=1587s
[28/66] n=16 58.75s eos=16 parse=16 done=448/1048 elapsed=1646s
[29/66] n=16 72.24s eos=16 parse=16 done=464/1048 elapsed=1719s
[30/66] n=16 90.28s eos=16 parse=16 done=480/1048 elapsed=1811s
[31/66] n=16 76.4s eos=16 parse=16 done=496/1048 elapsed=1888s
[32/66] n=16 58.97s eos=16 parse=16 done=512/1048 elapsed=1948s
[33/66] n=16 62.16s eos=16 parse=16 done=528/1048 elapsed=2011s
[34/66] n=16 73.89s eos=16 parse=16 done=544/1048 elapsed=2085s
[35/66] n=16 78.76s eos=16 parse=16 done=560/1048 elapsed=2165s
[36/66] n=16 70.37s eos=16 parse=16 done=576/1048 elapsed=2236s
[37/66] n=16 71.08s eos=16 parse=16 done=592/1048 elapsed=2308s
[38/66] n=16 70.23s eos=16 parse=16 done=608/1048 elapsed=2379s
[39/66] n=16 76.3s eos=16 parse=16 done=624/1048 elapsed=2456s
