model,condition,N songs,"melody (onset,pitch,dur): cross − within","melody (onset,pitch,dur): ratio",contour (intervals): cross − within,contour (intervals): ratio,rhythm: cross − within,rhythm: ratio,chord changes: cross − within,chord changes: ratio,pitch-class JS: cross − within,pitch-class JS: ratio,interval JS: cross − within,interval JS: ratio,|Δ notes/bar|: cross − within,|Δ notes/bar|: ratio,|Δ mean pitch|: cross − within,|Δ mean pitch|: ratio,"seed-paired d(A,B)/d(A,C), melody",melody vs orig TRANSPOSED: cross − within
midi_llm,bars_p4,60,"+0.004 [-0.001, +0.010]",1.00,"+0.001 [-0.006, +0.008]",1.00,"+0.006 [-0.005, +0.018]",1.01,"-0.018 [-0.036, +0.000]",0.97,"-0.009 [-0.018, +0.001]",0.92,"-0.002 [-0.006, +0.002]",0.96,"-0.021 [-0.085, +0.048]",0.95,"+0.152 [-0.482, +0.821]",1.03,"0.97 [0.95, 0.98]",
midi_llm,key_p5,60,"+0.008 [+0.003, +0.014]",1.01,"-0.000 [-0.007, +0.007]",1.00,"+0.002 [-0.007, +0.011]",1.00,"+0.072 [+0.053, +0.092]",1.11,"+0.099 [+0.073, +0.129]",1.88,"+0.003 [-0.002, +0.007]",1.04,"-0.026 [-0.080, +0.029]",0.94,"-0.221 [-0.867, +0.445]",0.96,"1.01 [1.00, 1.02]","+0.015 [+0.007, +0.023]"
midi_llm,label_bridge,60,"-0.000 [-0.006, +0.006]",1.00,"-0.002 [-0.009, +0.006]",1.00,"+0.001 [-0.010, +0.013]",1.00,"-0.003 [-0.023, +0.016]",0.99,"-0.005 [-0.016, +0.007]",0.96,"-0.001 [-0.005, +0.004]",0.99,"+0.004 [-0.072, +0.091]",1.01,"-0.445 [-0.999, +0.142]",0.92,"0.95 [0.93, 0.96]",
midi_llm,lyrics_all,59,"+0.002 [-0.003, +0.008]",1.00,"+0.001 [-0.007, +0.008]",1.00,"-0.004 [-0.013, +0.006]",0.99,"-0.011 [-0.029, +0.006]",0.98,"-0.005 [-0.019, +0.009]",0.95,"+0.005 [-0.000, +0.010]",1.08,"-0.027 [-0.099, +0.061]",0.94,"+0.154 [-0.589, +0.921]",1.03,"0.98 [0.97, 0.99]",
midi_llm,replay,60,"-0.848 [-0.906, -0.776]",0.08,"-0.498 [-0.531, -0.458]",0.08,"-0.611 [-0.655, -0.558]",0.08,"-0.632 [-0.679, -0.578]",0.07,"-0.107 [-0.140, -0.079]",0.05,"-0.055 [-0.060, -0.050]",0.07,"-0.428 [-0.513, -0.353]",0.06,"-4.999 [-5.732, -4.275]",0.06,,
midi_llm,tempo_x1.25,60,"+0.011 [+0.004, +0.018]",1.01,"+0.013 [+0.005, +0.021]",1.02,"+0.044 [+0.027, +0.062]",1.07,"+0.035 [+0.010, +0.062]",1.05,"+0.006 [-0.013, +0.029]",1.05,"+0.004 [-0.001, +0.010]",1.07,"+0.132 [+0.044, +0.230]",1.29,"+0.214 [-0.584, +1.100]",1.04,"1.01 [1.00, 1.02]",
mupt,bars_m4,224,"+0.002 [-0.001, +0.004]",1.00,"+0.006 [-0.002, +0.014]",1.01,"+0.005 [-0.002, +0.012]",1.01,"+0.003 [-0.006, +0.012]",1.00,"+0.003 [-0.006, +0.013]",1.02,"+0.004 [-0.001, +0.008]",1.03,"+0.015 [-0.042, +0.074]",1.02,"+0.122 [-0.134, +0.472]",1.03,"0.87 [0.85, 0.89]",
mupt,bars_p4,224,"+0.001 [-0.002, +0.003]",1.00,"+0.000 [-0.007, +0.008]",1.00,"+0.003 [-0.004, +0.010]",1.00,"-0.005 [-0.014, +0.003]",0.99,"-0.004 [-0.012, +0.004]",0.98,"+0.001 [-0.003, +0.005]",1.01,"-0.030 [-0.089, +0.034]",0.97,"+0.141 [-0.127, +0.493]",1.04,"0.87 [0.85, 0.89]",
mupt,key_p5,225,"+0.006 [+0.004, +0.010]",1.01,"+0.004 [-0.004, +0.012]",1.01,"+0.000 [-0.007, +0.008]",1.00,"+0.063 [+0.049, +0.077]",1.09,"+0.076 [+0.061, +0.092]",1.38,"+0.007 [+0.002, +0.013]",1.07,"-0.019 [-0.080, +0.044]",0.98,"+0.148 [-0.076, +0.378]",1.04,"1.01 [1.00, 1.01]","+0.015 [+0.012, +0.019]"
mupt,label_bridge,224,"-0.000 [-0.003, +0.002]",1.00,"-0.004 [-0.010, +0.003]",0.99,"-0.002 [-0.008, +0.004]",1.00,"-0.000 [-0.010, +0.009]",1.00,"-0.005 [-0.013, +0.002]",0.97,"+0.000 [-0.004, +0.004]",1.00,"+0.012 [-0.054, +0.080]",1.01,"-0.069 [-0.254, +0.125]",0.98,"0.90 [0.89, 0.92]",
mupt,lyrics_all,225,"-0.001 [-0.003, +0.002]",1.00,"-0.000 [-0.006, +0.006]",1.00,"-0.004 [-0.010, +0.001]",0.99,"-0.006 [-0.014, +0.003]",0.99,"-0.003 [-0.011, +0.005]",0.99,"+0.000 [-0.004, +0.004]",1.00,"+0.014 [-0.042, +0.073]",1.02,"+0.140 [-0.107, +0.422]",1.04,"0.97 [0.96, 0.98]",
mupt,replay,3,"-0.092 [-0.122, -0.062]",0.90,"-0.097 [-0.116, -0.075]",0.83,"-0.074 [-0.115, -0.018]",0.89,"-0.228 [-0.260, -0.194]",0.67,"-0.124 [-0.142, -0.088]",0.29,"-0.046 [-0.081, -0.018]",0.53,"-0.041 [-0.578, +0.636]",0.95,"-2.283 [-4.285, -1.155]",0.52,,
mupt,tempo_x1.25,225,"+0.002 [-0.001, +0.005]",1.00,"+0.006 [-0.003, +0.015]",1.01,"+0.006 [-0.003, +0.015]",1.01,"-0.000 [-0.011, +0.012]",1.00,"+0.004 [-0.006, +0.014]",1.02,"+0.005 [+0.000, +0.010]",1.04,"+0.055 [-0.012, +0.123]",1.06,"-0.011 [-0.234, +0.216]",1.00,"0.99 [0.98, 0.99]",
qwen_e3b,bars_m2,224,"+0.001 [-0.001, +0.004]",1.00,"-0.001 [-0.005, +0.003]",1.00,"+0.002 [-0.003, +0.007]",1.00,"-0.003 [-0.011, +0.005]",1.00,"+0.006 [-0.003, +0.015]",1.03,"-0.000 [-0.004, +0.004]",1.00,"+0.009 [-0.022, +0.042]",1.02,"+0.031 [-0.179, +0.240]",1.01,"0.90 [0.89, 0.92]",
qwen_e3b,bars_m4,224,"+0.003 [+0.000, +0.005]",1.00,"+0.000 [-0.004, +0.004]",1.00,"+0.005 [-0.001, +0.011]",1.01,"-0.008 [-0.015, -0.001]",0.99,"+0.007 [-0.001, +0.016]",1.04,"-0.000 [-0.005, +0.004]",1.00,"+0.026 [-0.007, +0.062]",1.05,"+0.114 [-0.109, +0.339]",1.03,"0.92 [0.90, 0.93]",
qwen_e3b,bars_p2,224,"+0.002 [-0.000, +0.004]",1.00,"+0.001 [-0.003, +0.006]",1.00,"+0.006 [+0.001, +0.012]",1.01,"-0.004 [-0.012, +0.003]",0.99,"+0.003 [-0.005, +0.011]",1.01,"-0.001 [-0.004, +0.003]",1.00,"+0.040 [+0.005, +0.078]",1.08,"+0.124 [-0.095, +0.344]",1.03,"0.90 [0.88, 0.92]",
qwen_e3b,bars_p4,224,"+0.002 [-0.001, +0.005]",1.00,"-0.002 [-0.005, +0.002]",1.00,"+0.009 [+0.004, +0.014]",1.01,"-0.008 [-0.015, -0.000]",0.99,"+0.002 [-0.006, +0.010]",1.01,"-0.002 [-0.006, +0.002]",0.98,"+0.031 [-0.002, +0.065]",1.06,"-0.052 [-0.262, +0.164]",0.99,"0.90 [0.89, 0.92]",
qwen_e3b,key_m3,225,"+0.027 [+0.024, +0.030]",1.03,"-0.001 [-0.005, +0.003]",1.00,"+0.001 [-0.005, +0.007]",1.00,"+0.262 [+0.244, +0.279]",1.39,"+0.336 [+0.318, +0.353]",2.66,"+0.003 [-0.002, +0.008]",1.02,"-0.003 [-0.032, +0.028]",0.99,"+0.026 [-0.227, +0.275]",1.01,"1.03 [1.02, 1.03]","+0.009 [+0.006, +0.012]"
qwen_e3b,key_p2,225,"+0.015 [+0.012, +0.018]",1.02,"+0.000 [-0.004, +0.004]",1.00,"-0.003 [-0.009, +0.003]",1.00,"+0.190 [+0.173, +0.206]",1.28,"+0.202 [+0.187, +0.216]",2.00,"-0.000 [-0.005, +0.005]",1.00,"-0.012 [-0.043, +0.020]",0.98,"-0.095 [-0.334, +0.147]",0.98,"1.02 [1.01, 1.02]","-0.001 [-0.004, +0.002]"
qwen_e3b,key_p5,225,"+0.006 [+0.003, +0.009]",1.01,"+0.002 [-0.003, +0.006]",1.00,"-0.004 [-0.009, +0.002]",0.99,"+0.072 [+0.059, +0.086]",1.11,"+0.077 [+0.064, +0.091]",1.38,"+0.000 [-0.005, +0.005]",1.00,"+0.011 [-0.024, +0.048]",1.02,"+0.046 [-0.201, +0.295]",1.01,"1.00 [1.00, 1.01]","+0.010 [+0.006, +0.013]"
qwen_e3b,label_bridge,224,"+0.002 [-0.001, +0.004]",1.00,"+0.003 [-0.002, +0.007]",1.00,"+0.002 [-0.003, +0.008]",1.00,"+0.002 [-0.007, +0.010]",1.00,"+0.009 [+0.000, +0.018]",1.05,"+0.002 [-0.002, +0.007]",1.02,"+0.002 [-0.027, +0.033]",1.00,"-0.010 [-0.217, +0.195]",1.00,"0.93 [0.92, 0.94]",
qwen_e3b,label_swap,224,"+0.001 [-0.002, +0.003]",1.00,"-0.002 [-0.006, +0.002]",1.00,"+0.002 [-0.003, +0.008]",1.00,"-0.006 [-0.014, +0.003]",0.99,"+0.007 [-0.002, +0.016]",1.04,"+0.002 [-0.003, +0.006]",1.01,"-0.018 [-0.046, +0.010]",0.96,"-0.015 [-0.228, +0.196]",1.00,"0.92 [0.91, 0.94]",
qwen_e3b,lyrics_all,225,"+0.003 [+0.000, +0.005]",1.00,"+0.006 [+0.002, +0.010]",1.01,"+0.007 [+0.002, +0.011]",1.01,"+0.011 [+0.003, +0.019]",1.02,"+0.009 [+0.001, +0.017]",1.05,"+0.002 [-0.002, +0.006]",1.02,"+0.040 [+0.011, +0.068]",1.08,"+0.075 [-0.156, +0.293]",1.02,"1.00 [0.99, 1.00]",
qwen_e3b,lyrics_sec,224,"+0.002 [-0.001, +0.005]",1.00,"-0.002 [-0.007, +0.002]",1.00,"+0.004 [-0.002, +0.009]",1.00,"-0.002 [-0.011, +0.007]",1.00,"+0.004 [-0.005, +0.013]",1.02,"-0.004 [-0.008, +0.000]",0.97,"-0.002 [-0.031, +0.028]",1.00,"+0.054 [-0.167, +0.280]",1.01,"0.96 [0.95, 0.97]",
qwen_e3b,replay,225,"-0.252 [-0.296, -0.209]",0.73,"-0.146 [-0.173, -0.120]",0.73,"-0.194 [-0.228, -0.161]",0.72,"-0.268 [-0.300, -0.237]",0.60,"-0.111 [-0.128, -0.095]",0.45,"-0.051 [-0.061, -0.042]",0.61,"-0.158 [-0.215, -0.101]",0.68,"-2.146 [-2.547, -1.770]",0.47,,
qwen_e3b,tempo_x0.8,225,"+0.001 [-0.001, +0.004]",1.00,"+0.000 [-0.004, +0.004]",1.00,"+0.005 [+0.000, +0.011]",1.01,"-0.006 [-0.014, +0.002]",0.99,"+0.007 [-0.003, +0.017]",1.03,"+0.001 [-0.004, +0.005]",1.01,"+0.014 [-0.015, +0.044]",1.03,"+0.038 [-0.190, +0.256]",1.01,"0.96 [0.94, 0.97]",
qwen_e3b,tempo_x1.25,225,"+0.000 [-0.002, +0.003]",1.00,"-0.002 [-0.006, +0.002]",1.00,"-0.001 [-0.006, +0.004]",1.00,"-0.008 [-0.017, +0.001]",0.99,"+0.001 [-0.009, +0.010]",1.00,"+0.001 [-0.003, +0.006]",1.01,"-0.027 [-0.054, -0.001]",0.94,"+0.155 [-0.091, +0.396]",1.04,"0.94 [0.92, 0.95]",
