model,condition,N songs,sections,"melody (onset,pitch,dur): cross − within","melody (onset,pitch,dur): ratio",contour (intervals): cross − within,contour (intervals): ratio,rhythm: cross − within,rhythm: ratio,chord changes: cross − within,chord changes: ratio
midi_llm,bars_p4,60,nontarget_after,"+0.004 [-0.004, +0.012]",1.00,"+0.009 [-0.020, +0.036]",1.01,"+0.002 [-0.017, +0.021]",1.00,"-0.006 [-0.028, +0.016]",0.99
midi_llm,bars_p4,60,nontarget_before,"-0.001 [-0.005, +0.003]",1.00,"+0.004 [-0.009, +0.019]",1.01,"-0.001 [-0.013, +0.011]",1.00,"-0.014 [-0.030, +0.003]",0.98
midi_llm,bars_p4,60,target,"+0.007 [-0.000, +0.016]",1.01,"+0.009 [-0.018, +0.037]",1.02,"+0.030 [+0.007, +0.056]",1.04,"-0.006 [-0.026, +0.015]",0.99
midi_llm,label_bridge,60,nontarget_after,"-0.001 [-0.009, +0.008]",1.00,"-0.004 [-0.030, +0.019]",0.99,"-0.015 [-0.032, +0.000]",0.98,"-0.001 [-0.022, +0.021]",1.00
midi_llm,label_bridge,60,nontarget_before,"-0.000 [-0.005, +0.005]",1.00,"-0.001 [-0.011, +0.010]",1.00,"+0.001 [-0.010, +0.012]",1.00,"-0.005 [-0.020, +0.011]",0.99
midi_llm,label_bridge,60,target,"+0.010 [+0.003, +0.018]",1.01,"+0.064 [+0.032, +0.098]",1.11,"+0.060 [+0.036, +0.085]",1.08,"-0.003 [-0.029, +0.025]",1.00
midi_llm,lyrics_all,59,nontarget_after,"+0.003 [-0.003, +0.011]",1.00,"+0.001 [-0.027, +0.027]",1.00,"-0.011 [-0.029, +0.009]",0.99,"+0.006 [-0.016, +0.031]",1.01
midi_llm,lyrics_all,59,nontarget_before,"-0.004 [-0.009, +0.001]",1.00,"+0.003 [-0.009, +0.014]",1.00,"+0.004 [-0.011, +0.020]",1.01,"-0.011 [-0.030, +0.009]",0.99
midi_llm,lyrics_all,59,target,"+0.007 [-0.002, +0.015]",1.01,"+0.013 [-0.011, +0.039]",1.02,"+0.011 [-0.008, +0.032]",1.02,"-0.023 [-0.042, -0.004]",0.97
mupt,bars_m4,224,nontarget_after,"+0.000 [-0.003, +0.003]",1.00,"-0.001 [-0.012, +0.011]",1.00,"+0.003 [-0.006, +0.012]",1.00,"+0.010 [-0.001, +0.022]",1.01
