decoding,metric,Qwen-ABC (E3b),N Qwen-ABC,MuPT,N MuPT,MIDI-LLM (mode A),N MIDI-LLM,Qwen − MuPT,Qwen − MIDI-LLM
single sample (mean of 4),generation success,"1.000 [1.000, 1.000]",225,"1.000 [1.000, 1.000]",225,"0.884 [0.840, 0.924]",225,"+0.000 [+0.000, +0.000]","+0.116 [+0.076, +0.160]"
single sample (mean of 4),valid output (strict ABC / own validator‡),"0.777 [0.743, 0.809]",225,"0.203 [0.172, 0.236]",225,"0.763 [0.717, 0.807]",225,"+0.573 [+0.536, +0.612]","+0.013 [-0.036, +0.066]"
single sample (mean of 4),exact structure,"0.982 [0.973, 0.991]",225,"0.341 [0.304, 0.379]",225,"0.884 [0.840, 0.924] †",225,"+0.641 [+0.603, +0.678]",
single sample (mean of 4),section count correct,"0.994 [0.989, 0.999]",225,"0.454 [0.418, 0.491]",225,"0.884 [0.840, 0.924] †",225,"+0.540 [+0.503, +0.577]",
single sample (mean of 4),label sequence correct,"0.990 [0.983, 0.996]",225,"0.367 [0.330, 0.404]",225,"0.884 [0.840, 0.924] †",225,"+0.623 [+0.586, +0.661]",
single sample (mean of 4),sections with exact label+bars,"0.995 [0.992, 0.998]",225,"0.791 [0.772, 0.811]",225,"0.884 [0.840, 0.924] †",225,"+0.204 [+0.185, +0.223]",
single sample (mean of 4),|total bars − request|,"0.21 [0.03, 0.45]",225,"12.05 [10.50, 13.64]",225,"0.00 [0.00, 0.00] †",199,"-11.833 [-13.442, -10.257]",
single sample (mean of 4),early termination,"0.001 [0.000, 0.003]",225,"0.308 [0.273, 0.342]",225,–,0,"-0.307 [-0.341, -0.272]",
single sample (mean of 4),countdown consistency,"0.999 [0.999, 1.000]",225,"0.996 [0.994, 0.997]",225,–,0,"+0.004 [+0.002, +0.005]",
single sample (mean of 4),lyric recall,"0.970 [0.963, 0.976]",225,"0.483 [0.467, 0.498]",225,"0.734 [0.695, 0.769]",225,"+0.488 [+0.472, +0.504]","+0.236 [+0.202, +0.274]"
